item,itemLabel,position,positionLabel,start,psid
Q103821494,Ali bin Ahmed Al Kuwari,Q110182380,Minister of Finance of Qatar,2021-10-19,Q103821494-4DA26736-7394-411D-AD7D-9E692531A565
Q109731310,Ali bin Samikh Al Marri,Q110183234,Minister of Labour,2021-10-19,Q109731310-9E064AB7-0615-43B7-A148-D4CD6F90F393
Q110183196,Jassim bin Saif bin Ahmed Al Sulaiti,Q110183197,Minister of Transport,2021-10-19,Q110183196-316DF4C8-092E-49EB-B99D-0192C507BCB9
Q110183205,Salah bin Ghanem Al Ali,Q110183206,Minister of Sports and Youth,2021-10-19,Q110183205-0E49742A-A91D-4F9C-807E-D79F6FFBC3E1
Q110183209,Abdullah bin Abdulaziz bin Turki Al Subaie,Q110183210,Minister of Municipality,2021-10-19,Q110183209-7E8B4419-020C-4327-AD57-2A54B0A4F2C2
Q110183214,Ghanem bin Shaheen bin Ghanem Al Ghanim,Q110182358,Minister of Awqaf and Islamic Affairs,2021-10-19,Q110183214-DA348C59-AE96-4E54-8582-E71D72A80CE5
Q110183219,Mohammed bin Hamad bin Qassim Al Abdullah Al Thani,Q106762274,Minister of Commerce and Industry,2021-10-19,Q110183219-10C03C79-DB99-4D1D-A072-6D6B43D16690
Q110183223,Buthaina Bint Ali Al Jabr Al Nuaimi,Q110183226,Minister of Education and Higher Education,2021-10-19,Q110183223-934F8DCC-62BB-4046-B07B-16887A77E7EE
Q110183229,Sheikh Abdulrahman bin Hamad bin Jassim bin Hamad Al Thani,Q110182482,"Minister of Culture, Arts and Heritage",2021-10-19,Q110183229-242A936E-38D6-47B6-9DB2-1FCF1B5D0BED
Q110183231,Faleh bin Nasser bin Ahmed bin Ali Al Thani,Q110182471,Minister of the Environment of Qatar,2021-10-19,Q110183231-6093D789-D7D6-4702-B52B-971BE6F42116
Q110183236,Mohammed bin Ali bin Mohammed Al Mannai,Q110182490,Minister of Information and Communications Technology (ictQATAR),2021-10-19,Q110183236-8A04BFAD-4FD9-4EC1-A8DF-AB120F128520
Q110183238,Mariam bint Ali bin Nasser Al Misnad,Q110183240,Minister of Social Development and Family,2021-10-19,Q110183238-F9C253BD-624C-4B52-BE1E-50E055DEB6EE
Q110183243,Mohammed bin Abdullah bin Mohammed Al Yousef Al-Sulaiti,Q110183244,Minister of State for Cabinet Affairs,2021-10-19,Q110183243-591CBDCC-96DE-4594-AF7C-0E37354B6852
Q13560046,Khalid bin Mohammad Al Attiyah,Q110182640,Minister of Defence of Qatar,2016-01-27,Q13560046-C29D20CB-79FE-4A0A-93DC-7AD5328A45DA
Q19662881,Saad Sherida al-Kaabi,Q110182815,Minister of Energy,2018-11-04,Q19662881-512C670D-477B-4FF2-BB9C-11C08E6F3DDF
Q83849153,Khalid bin Khalifa bin Abdul Aziz Al Thani,Q110182528,Minister of the Interior,2020-01-28,Q83849153-b2310783-4c64-6a4f-b930-c4acfe918809
Q83849153,Khalid bin Khalifa bin Abdul Aziz Al Thani,Q30100647,Prime Minister of Qatar,2020-01-28,Q83849153-a374ad54-4ec3-6cb5-1f93-3495738d33c0
Q90943396,Hanan Mohamed Al Kuwari,Q110183282,Minister of Public Health,2016-01-01,Q90943396-F8848BAB-CFCA-4017-AC9D-279900E08C2F
